name	active	alias_1	alias_10	alias_2	alias_3	alias_4	alias_5	alias_6	alias_7	alias_8	alias_9	internal_notes	latest_delinquency_data	latest_financial_data	latest_lease_data	latest_marketing_data	latest_unit_status_data	staff_only
.meritag	False	.meritag - MERGED																True
.wdcrst	False	.wdcrst																False
121	False	121																False
1515	False	1515																False
1516	False	1516																False
1517	False	1517																False
1722	False	1722-merged																False
1749	False	1749																True
1750	False	1750																True
1751	False	1751																True
1758	False	1758-DEP																True
200	False	200																False
208	False	208																False
220	False	220																False
221	False	221																False
224	False	224																False
226	False	226																False
227	False	227																False
228	False	228																False
229	False	229																False
230	False	230																False
232	False	232																False
303	False	303																False
304	False	304																False
305	False	305																False
307	False	307																False
308	False	308																False
309	False	309																False
372	False	372																True
435	False	435																True
501	False	501																False
502	False	502																False
503	False	503																False
504	False	504																False
505	False	505																False
507	False	507																False
508	False	508																False
601	False	601																False
8000 Waters	False	1489										inactive - 3/23/16						False
969	False	969																True
Abbington Heights	False	1549																True
Acadian Gardens	False	1372																True
Addison Keller Springs	False	1732																True
Alexan EAV	False	1658										Deactivated 12/21						False
Alexander Pointe	False	1722		1643	alexpt													True
Annex	False	1502										"This has been renamed from ""The Dakota"" to ""Annex"". Deactivated 4/29/16"						False
Ansley Place	True	1536											${TODAY}	${TODAY}			${TODAY}	False
Arbors at Tallwood	True	1532											${TODAY}				${TODAY}	False
Arbors on Forest Ridge	True	1520																False
Arbors, The	True	1574																False
Arcadia Cove	False	1755																True
Ashbrooke Apartments	True	1624																False
Ashford Club	True	1713																False
Ashton, The	True	1365																False
Autumn Chase	True	1691		45333	.autumnc													False
Autumn Ridge	True	1702																False
Autumn Vista	True	1622										Autumn Vista						False
Axis at One Pine	True	1629										name changed from Viera Plantation						False
Axis at Westmont	True	.fountai		1484	1645							"2016 08 03 changed name from ""Fountains at Stone Crest"" to ""Axis at Westmont"""					${TODAY}	False
Bass Lofts	True	1431																False
Beechwood Terrace	True	1548																False
Bel Air	True	1696																False
Beldon Spring Lake	False	1584										Removed 2.2.16						False
Bella Vida at Coyote Ridge	True	1467															${TODAY}	False
Belmont at Duck Creek	True	1557																False
Bent Tree	False	1451										Deactivated 12/1						False
Benton Pointe	False	1304		45335	1481	.bentonp						Deactivated 1/17/2017						False
Birchwood at Boulders	True	1413																False
Blair's Cove	False	1582										Expect first financials on Feb 17; deactivated 4/3/2017						False
Boardwalk	True	1495		45316														False
Boulder Ridge	True	1436																False
Brady Station	True	1169													${TODAY}			False
Brazos Crossing	True	1648																False
Briarwood Apartments	False	1390																False
Bridgepoint	True	1074													${TODAY}			False
Bridgeview	True	1711											${TODAY}					False
Bristol Place	True	1546											${TODAY}			${TODAY}		False
Broadmoor	True	1391																False
Brookhollow	True	1529											${TODAY}				${TODAY}	False
Brooksfield	True	1004													${TODAY}			False
Brookside Park	False	Brookside Park																True
Brookwood	False	1500										inactive 3/23/16						False
Bullard Creek	True	1046													${TODAY}			False
Bullard Crossing	True	1066													${TODAY}			False
Cambridge Landing	False	1568										removed 2/2/2017						False
Cameron Lakes	False	1281										Inactive - sold						False
Candleglow	True	1712																False
Canyon Crossing	True	1102													${TODAY}			False
Canyon Crossing II	True	1104													${TODAY}			False
Canyons at 45 West	False	1407										Inactive - sold (6/29/2015)						False
Captain's Landing	True	1270													${TODAY}			False
Carlton Court	False	1410										Deactivated 11/21/16						False
Carmel Landing	True	1458															${TODAY}	False
Cedar Trails	True	1462															${TODAY}	False
Chapel Oaks	False	1141										Jason asked to remove property on 6/9						False
Chastain Terrace	True	1433																False
Chatham Village	True	1553											${TODAY}			${TODAY}		False
Chelsea Commons	False	1641										Deactivated 1/31/2017						False
Chelsea Creek	True	1463															${TODAY}	False
City Parc at Keller	True	1556											${TODAY}			${TODAY}		False
Clearpoint Gardens	True	1708										Activated 5/16/2017						False
Club at Cherry Hills	False	1501										inactive - 3/23/16						False
Club at Fossil Creek	False	45337		1480								Deactivated 6/10/16						False
Club at Highland Park	False	1285										Removed 4/28/2017						False
Club at Indian Creek	True	1570																False
Club at Oak Creek	True	1021													${TODAY}			False
Club at Washington Heights	True	1312													${TODAY}			False
College Square	True	1168													${TODAY}			False
College Square Village I	True	1047													${TODAY}			False
College Square Village II	True	1048													${TODAY}			False
Colonial Forest	False	1559										deactivated 2/2/2017						False
Colony, The	True	1173																False
Colt's Crossing	False	1490										inactive - 3/23/16						False
Concord at Allendale	True	1466															${TODAY}	False
Confluence on 3rd	True	1680																False
Connection at Buffalo Pointe	True	1716																False
Cornerstone, The	True	1591																False
Courtney Cove	True	1564																False
Crossings at Holcomb Bridge	True	1571																False
Crossings, The	True	1573																False
Curry Junction	True	1134													${TODAY}			False
Cutter's Point	True	1521																False
Diamond Loch	True	1616										Diamond Loch						False
Eagle Crest	True	1522																False
East Bank at Richwood Village	True	1675																False
Eastfield Plaza	True	1695																False
Edgewater at Sandy Springs	True	1547																False
Edgewood	False	1143										Deactivated 1/2/2017						False
Elan at Bluffview	True	1597		45401														False
Elements on Park	False	1503										inactive - 3/23/16						False
Enclave Hartland	False	1491										inactive - 3/23/16						False
Estates at Park Avenue	True	1730																False
Estates on Maryland	True	1613																False
Fairways, The	False	1565																False
Flats at West Broad Village	True	1628																False
Forest Park	True	1268													${TODAY}			False
Fountain Square	True	1356																False
Fountains of Conroe	True	1412																False
Gardens of Denton	True	1720		gardens														False
Glenwood Vista	True	1737																False
Grand Oaks	True	1685																False
Grand Parkway	True	1659																False
Granite Park	True	1670		1644	granite								${TODAY}					False
Greentree - Texas	True	1428																False
Grove at Alban, The	False	1534										Deactivated 4/5/17						False
Grove, The	True	1426																False
Harbour, The	True	1423																False
Hawthorne Ridge	True	1552											${TODAY}			${TODAY}		False
Heatherstone	True	1599																False
Heights of Kennesaw	True	1432																False
Heron Pointe	False	1638										removed 2/21/2017						False
Hidden Harbour	True	1377																False
Highland Ridge	True	1632																False
Hollister Place	True	1707											${TODAY}					False
Hunt Club	False	1504										inactive - 3/23/16						False
Huntington Glen	True	1604		1186	.hunting							old property number was 1186 and the new number is 1604. consolidated: .hunting						False
Huntington Pointe	True	1073													${TODAY}			False
Indiana Village	True	1103													${TODAY}			False
Jade Park	False	1562										Deactivated 9.30.16. Requested by Mike.						False
Knolls, The	True	1572																False
La Colina	False	1498		45315								Named changed from LaColina to La Colina: Deactivated 2/25/16- sold						False
Ladera Palms	True	1450															${TODAY}	False
Lake Ellenor	False	1642										Deactivated 12/1/16						False
Lakes at Fountain Square	True	1646		1485	.lakes							"Name - ""Historical"". Name changed from lakes at fountain, The to Lakes at Fountain Square-Redwood"					${TODAY}	False
Lakeshore Club Condominium	False	1249										Inactive - sold						False
Lakeside	False	1505										inactive - 3/23/16						False
Lakeview Residences	False	1651										Deactivated 6/1/16						False
Landings at Brooks City Base	True	1541											${TODAY}			${TODAY}		False
Lansbrook at Twin Creeks	False	1305		1482	45336	.lansbro						Deactivated 1/27/17						False
Latitude Apartments and Casitas	True	1575																False
Lenexa Pointe	True	1686																False
